Designator,Val,Package,"MidX","MidY",Rotation,Layer
"C1","22p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",140.788000,-68.250000,0.000000,top
"C2","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.750000,-73.250000,90.000000,top
"C3","0.22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",145.788000,-74.250000,90.000000,top
"C4","2.2u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",136.911722,-73.839704,90.000000,top
"C5","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",190.600000,-88.800000,0.000000,top
"C6","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",153.500000,-93.037500,90.000000,top
"C7","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.500000,-93.000000,90.000000,top
"C8","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",165.500000,-93.500000,90.000000,top
"C9","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",162.500000,-93.500000,90.000000,top
"C10","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",169.962500,-110.000000,180.000000,top
"C11","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",165.462500,-110.000000,180.000000,top
"C12","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-108.500000,-90.000000,top
"C13","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-104.500000,-90.000000,top
"C14","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-100.500000,-90.000000,top
"C15","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-96.500000,-90.000000,top
"C16","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-92.500000,-90.000000,top
"C17","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-88.500000,-90.000000,top
"C18","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-84.500000,-90.000000,top
"C19","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-80.500000,-90.000000,top
"C20","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-76.500000,-90.000000,top
"C21","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-72.500000,-90.000000,top
"C22","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-68.500000,-90.000000,top
"C23","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-112.500000,-90.000000,top
"C24","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",126.000000,-116.000000,180.000000,top
"C25","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",140.462500,-84.500000,0.000000,top
"C26","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",184.537500,-92.000000,180.000000,top
"C32","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",171.537500,-116.500000,180.000000,top
"IC1","LT3990EMSE#TRPBF","SOP50P490X110-17N",141.288000,-72.250000,0.000000,top
"IC2","LTC6255IS6#TRMPBF","SOT95P280X100-6N",180.000000,-90.450000,180.000000,top
"IC3","ADG728BRUZ-REEL7","SOP65P640X120-16N",187.000000,-95.875000,180.000000,top
"IC4","ADG728BRUZ-REEL7","SOP65P640X120-16N",187.000000,-84.500000,0.000000,top
"J1","Conn_01x02_Pin","RHDR2W97P0X254_1X2_654X508X1379P",153.460000,-68.155000,0.000000,top
"J2","Conn_01x07_Pin","SHDRRA7W77P0X254_1X7_2032X1359X699P",92.050000,-104.000000,180.000000,top
"J3","Conn_01x02_Pin","RHDR2W97P0X254_1X2_654X508X1379P",163.000000,-68.155000,0.000000,top
"J4","Conn_01x08_Pin","SHDRRA8W50P0X254_1X8_2273X1359X741P",196.140000,-104.000000,180.000000,top
"J5","Conn_01x08_Pin","SHDRRA8W50P0X254_1X8_2273X1359X741P",178.400000,-77.800000,0.000000,top
"J6","Conn_01x07_Pin","SHDRRA7W77P0X254_1X7_2032X1359X699P",76.930000,-77.500000,0.000000,top
"L1","33u","L_1210_3225Metric_Pad1.42x2.65mm_HandSolder",147.288000,-78.250000,0.000000,top
"Q1","Q_PMOS_GDS","SOT-23-3",103.050000,-111.000000,180.000000,top
"Q2","Q_PMOS_GDS","SOT-23-3",103.050000,-106.500000,180.000000,top
"Q3","Q_PMOS_GDS","SOT-23-3",103.050000,-102.050000,180.000000,top
"Q4","Q_PMOS_GDS","SOT-23-3",103.050000,-97.550000,180.000000,top
"Q5","Q_PMOS_GDS","SOT-23-3",103.050000,-93.050000,180.000000,top
"Q6","Q_PMOS_GDS","SOT-23-3",102.912500,-88.500000,180.000000,top
"Q7","Q_PMOS_GDS","SOT-23-3",103.050000,-84.050000,180.000000,top
"Q8","Q_PMOS_GDS","SOT-23-3",103.050000,-79.500000,180.000000,top
"Q9","Q_PMOS_GDS","SOT-23-3",102.912500,-75.050000,180.000000,top
"Q10","Q_PMOS_GDS","SOT-23-3",103.050000,-70.500000,180.000000,top
"Q11","Q_PMOS_GDS","SOT-23-3",103.050000,-65.950000,180.000000,top
"Q12","Q_PMOS_GDS","SOT-23-3",103.050000,-115.500000,180.000000,top
"Q18","Q_PMOS_GDS","SOT95P237X112-3N",164.450000,-114.000000,0.000000,top
"R1","316k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",136.788000,-66.750000,-90.000000,top
"R2","1M","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",140.788000,-65.750000,180.000000,top
"R3","374k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",147.288000,-68.250000,0.000000,top
"R4","470","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",135.112465,-70.768955,0.000000,top
"R5","4.7k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",180.000000,-86.000000,-90.000000,top
"R6","4.7k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",178.500000,-81.500000,0.000000,top
"R7","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",173.000000,-97.000000,180.000000,top
"R8","51","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",149.500000,-90.000000,0.000000,top
"R9","51","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",156.500000,-90.000000,0.000000,top
"R10","51","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",168.500000,-90.000000,180.000000,top
"R11","51","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",162.500000,-90.000000,180.000000,top
"R12","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-108.500000,0.000000,top
"R13","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.000000,-106.500000,0.000000,top
"R14","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",109.550000,-111.000000,180.000000,top
"R15","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.000000,-110.500000,0.000000,top
"R16","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",109.550000,-106.500000,180.000000,top
"R17","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.000000,-102.500000,0.000000,top
"R18","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-104.500000,0.000000,top
"R19","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",109.550000,-102.000000,180.000000,top
"R20","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.000000,-98.500000,0.000000,top
"R21","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-100.500000,0.000000,top
"R22","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",109.550000,-97.500000,180.000000,top
"R23","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.000000,-94.500000,0.000000,top
"R24","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-96.500000,0.000000,top
"R25","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",109.500000,-93.000000,180.000000,top
"R26","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.000000,-90.500000,0.000000,top
"R27","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-92.500000,0.000000,top
"R28","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",109.500000,-88.500000,180.000000,top
"R29","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.000000,-86.500000,0.000000,top
"R30","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-88.500000,0.000000,top
"R31","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",109.550000,-84.000000,180.000000,top
"R32","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.000000,-82.500000,0.000000,top
"R33","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-84.500000,0.000000,top
"R34","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",109.550000,-79.500000,180.000000,top
"R35","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.000000,-78.500000,0.000000,top
"R36","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-80.500000,0.000000,top
"R37","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",109.550000,-75.000000,180.000000,top
"R38","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.000000,-74.500000,0.000000,top
"R39","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-76.500000,0.000000,top
"R40","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",109.550000,-70.500000,180.000000,top
"R41","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",116.950000,-70.500000,0.000000,top
"R42","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-72.500000,0.000000,top
"R43","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",109.550000,-66.000000,180.000000,top
"R44","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.000000,-66.500000,0.000000,top
"R45","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-68.500000,0.000000,top
"R46","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",109.550000,-115.500000,180.000000,top
"R47","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.000000,-114.500000,0.000000,top
"R48","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.000000,-112.500000,0.000000,top
"R49","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",150.500000,-94.500000,90.000000,top
"R50","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",155.500000,-97.550000,-90.000000,top
"R51","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",138.000000,-88.500000,-90.000000,top
"R52","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",185.633538,-88.818599,180.000000,top
"R68","25","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",156.550000,-112.000000,0.000000,top
"R69","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",173.950000,-101.500000,180.000000,top
"R70","3.3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",173.500000,-111.300000,90.000000,top
"T1","SM91501ALE","SOP200P1473X500-12N",159.500000,-79.500000,-90.000000,top
"U1","ADBMS1818ASWZ","05-08-1982_ADI",145.250000,-106.676900,-90.000000,top
